"","term","gene"
"2","pDC","IRF4"
"3","pDC","IRF7"
"4","pDC","IRF8"
"5","pDC","SPIB"
"6","pDC","SOX4"
"7","pDC","LILRA4"
"8","pDC","SLC15A4"
"9","pDC","PLD4"
"10","pDC","CCDC50"
"11","pDC","IL3RA"
"12","pDC","LY9"
"13","pDC","SELL"
"14","pDC","GAS6"
"15","cDC1","BATF3"
"16","cDC1","ID2"
"17","cDC1","ETV3"
"18","cDC1","XCR1"
"19","cDC1","CLEC9A"
"20","cDC1","PTDSS1"
"21","cDC1","SCARB1"
"22","cDC1","IL6ST"
"23","cDC1","CD40"
"24","cDC1","TNFRSF10B"
"25","cDC1","IDO1"
"26","cDC1","CST7"
"27","cDC1","CLIC2"
"28","cDC1","NET1"
"29","cDC1","ANXA6"
"30","cDC2","HMGA1"
"31","cDC2","PFDN1"
"32","cDC2","IRF4"
"33","cDC2","CD1C"
"34","cDC2","CLEC10A"
"35","cDC2","FCGR2B"
"36","cDC2","S1RPA"
"37","cDC2","ADAM8"
"38","cDC2","FCER1A"
"39","cDC2","AXL"
"40","cDC2","ADAM28"
"41","cDC2","LY86"
"42","cDC2","TIMM13"
"43","cDC2","ARAF"
"44","Classical_monocyte","CEBPD"
"45","Classical_monocyte","FCN1"
"46","Classical_monocyte","CD14"
"47","Classical_monocyte","CD36"
"48","Classical_monocyte","SELL"
"49","Classical_monocyte","S100A8"
"50","Classical_monocyte","S100A12"
"51","Classical_monocyte","CLEC12A"
"52","Classical_monocyte","MS4A6A"
"53","Classical_monocyte","CXCL14"
"54","Nonclassical_monocyte","TCF7L2"
"55","Nonclassical_monocyte","KLF3"
"56","Nonclassical_monocyte","IKZF1"
"57","Nonclassical_monocyte","FLI1"
"58","Nonclassical_monocyte","FCN1"
"59","Nonclassical_monocyte","FCGR3A"
"60","Nonclassical_monocyte","FCGR3B"
"61","Nonclassical_monocyte","LILRA1"
"62","Nonclassical_monocyte","LILRB1"
"63","Nonclassical_monocyte","CX3CR1"
"64","Nonclassical_monocyte","IFITM1"
"65","Nonclassical_monocyte","ICAM2"
"66","Nonclassical_monocyte","MTSS1"
"67","Nonclassical_monocyte","CDKN1C"
"68","Nonclassical_monocyte","CDH23"
"69","Nonclassical_monocyte","SLC44A2"
"70","Intermediate_monocyte","CEBPD"
"71","Intermediate_monocyte","ZFP36L2"
"72","Intermediate_monocyte","FCN1"
"73","Intermediate_monocyte","CD14"
"74","Intermediate_monocyte","FCGR3A"
"75","Intermediate_monocyte","CD300E"
"76","Intermediate_monocyte","FAM65B"
"77","Monocyte_like_cell","CEBPD"
"78","Monocyte_like_cell","MAFB"
"79","Monocyte_like_cell","FCN1"
"80","Monocyte_like_cell","HLA-DQA1"
"81","Monocyte_like_cell","HLA-DQB1"
"82","Monocyte_like_cell","HSPA1A"
"83","Monocyte_like_cell","HSPA1B"
"84","Monocyte_like_cell","CXCR4"
"85","Monocyte_like_cell","FCGR2A"
"86","Monocyte_like_cell","FCGR3A"
"87","Macro_NLRP3","NFKB2"
"88","Macro_NLRP3","NLRP3"
"89","Macro_NLRP3","AQP9"
"90","Macro_NLRP3","METRNL"
"91","Macro_NLRP3","GPR132"
"92","Macro_NLRP3","ANPEP"
"93","Macro_NLRP3","PLAUR"
"94","Macro_NLRP3","EREG"
"95","Macro_NLRP3","VEGFA"
"96","Macro_NLRP3","PTGS2"
"97","TAM_C1QC","MAFB"
"98","TAM_C1QC","ATF3"
"99","TAM_C1QC","MAF"
"100","TAM_C1QC","MEF2A"
"101","TAM_C1QC","PA2G4"
"102","TAM_C1QC","C1QA"
"103","TAM_C1QC","C1QB"
"104","TAM_C1QC","C1QC"
"105","TAM_C1QC","MERTK"
"106","TAM_C1QC","FPR3"
"107","TAM_C1QC","TREM2"
"108","TAM_C1QC","MS4A4A"
"109","TAM_C1QC","SLCO2B1"
"110","TAM_C1QC","NRP1"
"111","TAM_C1QC","SLAMF8"
"112","TAM_C1QC","FCGR1A"
"113","TAM_C1QC","ENG"
"114","TAM_C1QC","SIRPA"
"115","TAM_SPP1","CEBPB"
"116","TAM_SPP1","SPP1"
"117","TAM_SPP1","IL1RN"
"118","TAM_SPP1","OLR1"
"119","TAM_SPP1","CXCL2"
"120","TAM_SPP1","VEGFA"
"121","TAM_SPP1","EREG"
"122","TAM_SPP1","C15ORF48"
"123","TAM_SPP1","GPNMB"
"124","TAM_SPP1","PHLDA1"
"125","TAM_SPP1","AQP9"
"126","TAM_SPP1","TNS3"
"127","TAM_SPP1","NDRG1"
